production_order_id,supplier_id,supplier_name,material_id,material_name,required_qty,production_date
PROD500,SUP003,CoreSteel,MAT101,Steel Rod,86,2024-01-01
PROD501,SUP001,AlphaSteel,MAT103,Steel Bar,84,2024-01-02
PROD502,SUP003,CoreSteel,MAT102,Steel Plate,40,2024-01-03
PROD503,SUP001,AlphaSteel,MAT102,Steel Plate,77,2024-01-04
PROD504,SUP005,PrimeSteel,MAT101,Steel Rod,80,2024-01-05
PROD505,SUP005,PrimeSteel,MAT100,Steel Coil,36,2024-01-06
PROD506,SUP004,DeltaIron,MAT104,Steel Sheet,12,2024-01-07
PROD507,SUP001,AlphaSteel,MAT103,Steel Bar,68,2024-01-08
PROD508,SUP002,BetaMetals,MAT100,Steel Coil,24,2024-01-09
PROD509,SUP001,AlphaSteel,MAT101,Steel Rod,11,2024-01-10
PROD510,SUP001,AlphaSteel,MAT104,Steel Sheet,34,2024-01-11
PROD511,SUP004,DeltaIron,MAT102,Steel Plate,93,2024-01-12
PROD512,SUP004,DeltaIron,MAT100,Steel Coil,39,2024-01-13
PROD513,SUP005,PrimeSteel,MAT101,Steel Rod,12,2024-01-14
PROD514,SUP003,CoreSteel,MAT100,Steel Coil,46,2024-01-15
PROD515,SUP005,PrimeSteel,MAT102,Steel Plate,52,2024-01-16
PROD516,SUP005,PrimeSteel,MAT100,Steel Coil,70,2024-01-17
PROD517,SUP005,PrimeSteel,MAT104,Steel Sheet,12,2024-01-18
PROD518,SUP004,DeltaIron,MAT101,Steel Rod,34,2024-01-19
PROD519,SUP002,BetaMetals,MAT104,Steel Sheet,96,2024-01-20
PROD520,SUP005,PrimeSteel,MAT104,Steel Sheet,99,2024-01-21
PROD521,SUP003,CoreSteel,MAT103,Steel Bar,43,2024-01-22
PROD522,SUP003,CoreSteel,MAT101,Steel Rod,36,2024-01-23
PROD523,SUP002,BetaMetals,MAT100,Steel Coil,39,2024-01-24
PROD524,SUP002,BetaMetals,MAT101,Steel Rod,21,2024-01-25
PROD525,SUP002,BetaMetals,MAT102,Steel Plate,43,2024-01-26
PROD526,SUP002,BetaMetals,MAT103,Steel Bar,36,2024-01-27
PROD527,SUP005,PrimeSteel,MAT104,Steel Sheet,60,2024-01-28
PROD528,SUP002,BetaMetals,MAT104,Steel Sheet,64,2024-01-29
PROD529,SUP001,AlphaSteel,MAT102,Steel Plate,65,2024-01-30
PROD530,SUP003,CoreSteel,MAT102,Steel Plate,96,2024-01-31
PROD531,SUP005,PrimeSteel,MAT102,Steel Plate,77,2024-02-01
PROD532,SUP003,CoreSteel,MAT100,Steel Coil,39,2024-02-02
PROD533,SUP001,AlphaSteel,MAT104,Steel Sheet,12,2024-02-03
PROD534,SUP003,CoreSteel,MAT103,Steel Bar,53,2024-02-04
