supplier_id,supplier_name,material_id,material_name,current_stock,daily_consumption,safety_stock,last_updated
SUP002,BetaMetals,MAT104,Steel Sheet,340,38,91,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,241,19,198,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,382,10,118,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,151,36,82,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,151,5,136,2024-01-15
SUP002,BetaMetals,MAT101,Steel Rod,129,30,199,2024-01-15
SUP004,DeltaIron,MAT102,Steel Plate,332,28,199,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,138,15,113,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,251,32,160,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,291,26,123,2024-01-15
SUP002,BetaMetals,MAT100,Steel Coil,106,34,152,2024-01-15
SUP001,AlphaSteel,MAT101,Steel Rod,342,14,161,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,68,5,122,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,332,38,111,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,321,27,175,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,472,25,146,2024-01-15
SUP003,CoreSteel,MAT104,Steel Sheet,336,16,189,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,108,20,129,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,398,7,90,2024-01-15
SUP004,DeltaIron,MAT103,Steel Bar,322,30,163,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,429,32,165,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,252,6,128,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,188,25,113,2024-01-15
SUP005,PrimeSteel,MAT102,Steel Plate,81,9,96,2024-01-15
SUP001,AlphaSteel,MAT102,Steel Plate,350,23,137,2024-01-15
SUP002,BetaMetals,MAT103,Steel Bar,212,21,123,2024-01-15
SUP003,CoreSteel,MAT101,Steel Rod,97,6,135,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,311,36,185,2024-01-15
SUP001,AlphaSteel,MAT104,Steel Sheet,280,7,196,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,181,16,86,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,248,18,117,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,283,5,173,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,62,29,122,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,58,36,125,2024-01-15
SUP002,BetaMetals,MAT102,Steel Plate,114,37,84,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,144,20,174,2024-01-15
SUP005,PrimeSteel,MAT100,Steel Coil,494,22,89,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,248,19,147,2024-01-15
SUP004,DeltaIron,MAT104,Steel Sheet,260,32,122,2024-01-15
SUP005,PrimeSteel,MAT104,Steel Sheet,245,23,116,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,360,36,99,2024-01-15
SUP004,DeltaIron,MAT101,Steel Rod,167,35,104,2024-01-15
SUP005,PrimeSteel,MAT103,Steel Bar,180,16,180,2024-01-15
SUP003,CoreSteel,MAT100,Steel Coil,172,39,147,2024-01-15
SUP001,AlphaSteel,MAT100,Steel Coil,364,31,194,2024-01-15
